01OO      	NORDIC INVESTMENT BANK 5.25% BDS 26/11/2019 GBP(VAR)	LSE       
0KBX      	RAMIRENT OYJ NPV                                  	LSE       
0KBZ      	REXEL PROMESSES EUR5                              	LSE       
0KC3      	SPONDA OYJ NPV                                    	LSE       
0KCK      	STORA ENSO OYJ SER`R`NPV(STOCKHOLM ONLY)          	LSE       
0KCP      	TESSENDERLO CHEMIE NPV                            	LSE       
0KD1      	TUBACEX EUR0.45                                   	LSE       
0KD2      	TUBOS REUNIDOS SA EUR0.10                         	LSE       
0KDK      	BARCO(NEW) NPV                                    	LSE       
0KED      	INFINEON TECHNOLOGIES AG ORD NPV                  	LSE       
0KEH      	BROOKFIELD ASSET MANAGEMENT INC LIMITED VTG SHS NPV CL`A`	LSE       
0KFE      	MUNCHENER RUCKVERSICHERUNGS AG NPV(REGD)          	LSE       
0KFX      	DANONE ORD EUR0.25                                	LSE       
0KG0      	TIETO OYJ ORD NPV                                 	LSE       
0KHH      	GEOX S.P.A. ORD EUR0.1                            	LSE       
0KI5      	UPONOR OYJ NPV                                    	LSE       
0KII      	SSAB AB SER`A`NPV                                 	LSE       
0KJ1      	SONGA OFFSHORE EUR0.11                            	LSE       
0KJB      	MAN AG ORD NPV                                    	LSE       
0KK7      	BEE TEAM SPA NPV                                  	LSE       
0KLO      	PORTUCEL-EMPRESA PRODUTORA DE PASTA EUR1          	LSE       
0KO8      	ENEA SA PLN1                                      	LSE       
0KUY      	PNE WIND AG NPV(REGD)                             	LSE       
0KV7      	TOMRA SYSTEMS ASA NOK1                            	LSE       
0KVG      	BLACK EARTH FARMING LTD SWEDISH DEP RECEIPT       	LSE       
0KVR      	KLOEKNER & CO NPV                                 	LSE       
0KVV      	EADS(EURO AERONAUTIC DEFENSE SPACE) EUR1          	LSE       
0L9Q      	FISKARS AB OY NPV                                 	LSE       
0LBM      	TRASMISSIONE ELETTRICITA RETE NAZIO ORD EUR0.22   	LSE       
0LBN      	UNIONE DI BANCHE ITALIANE SCPA EUR2.5             	LSE       
0LBS      	ALCATEL LUCENT EUR2`A`                            	LSE       
0LCR      	FUCHS PETROLUB AG NON VTG PRF NPV                 	LSE       
0LD0      	GDF SUEZ EUR1                                     	LSE       
0LD1      	INDUSTRIA MACCHINE AUTOMATICHE(IMA) EUR0.52       	LSE       
0LLP      	TISCALI SPA NPV                                   	LSE       
0LN7      	AIR FRANCE - KLM EUR8.50(REGD)                    	LSE       
0LN9      	ROYAL DUTCH SHELL `A`ORD EUR0.07                  	LSE       
0LND      	AKZO NOBEL NV EUR2                                	LSE       
0LNG      	KONINKLIJKE PHILIPS ELECTRONICS NV EUR0.20        	LSE       
0LNI      	EUROCOMMERCIAL PROPERTY NV CVA EUR0.50 (REP 10 SHS)	LSE       
0LNJ      	VASTNED RETAIL EUR5                               	LSE       
0LNN      	ING GROEP N.V. CVA EUR0.24                        	LSE       
0LNQ      	BAM GROEP NV(KONINKLIJKE) ORD EUR0.10             	LSE       
0LNT      	FUGRO NV EUR0.05                                  	LSE       
0LO8      	ROYAL BOSKALIS WESTMINSTER GROEP NV EUR0.8        	LSE       
0LO9      	AMG ADVANCED METALLURGICAL GROUP N. EUR0.02       	LSE       
0LQ1      	CONTINENTAL AG NPV                                	LSE       
0LQ4      	KRONES AG ORD NPV                                 	LSE       
0LQG      	ASSECO POLAND SA PLN1                             	LSE       
0LRI      	JUMBO SA EUR1.4                                   	LSE       
0LS5      	NG2 SA PLN0.10                                    	LSE       
0LS7      	CIECH SA PLN5                                     	LSE       
0LTM      	EUROCASH SA PLN1                                  	LSE       
0LVL      	LPP SA PLN2                                       	LSE       
0LWU      	NETIA SA PLN1                                     	LSE       
0LX1      	OPTIMUS SA PLN1                                   	LSE       
0M0A      	ROCKWOOL INTERNATIONAL `B`SHS DKK10               	LSE       
0M0Q      	SOS CORPORACION ALIMENTARIA SA EUR1.5025          	LSE       
0M14      	POLARCUS LTD USD0.02                              	LSE       
0M2O      	ORION CORPORATION SER`B`NPV                       	LSE       
0M2T      	KPS AG NPV                                        	LSE       
0M2V      	ZOOPLUS AG NPV                                    	LSE       
0M2Z      	STATOIL ASA NOK2.50                               	LSE       
0M32      	STORA ENSO OYJ SER`A`NPV(SEK QUOTE)               	LSE       
0M3P      	YOOX SPA EUR0.52                                  	LSE       
0M5J      	DET NORSKE OLJESELSKAP ASA NOK0.20                	LSE       
0M69      	OTP BANK HUF100                                   	LSE       
0M6I      	HEIJMANS ORD                                      	LSE       
0M6J      	H & H INTERNATIONAL `B` DKK100                    	LSE       
0M6P      	S.E.S.SA FIDUCIARY DR EACH REP 1`A`SHS NPV        	LSE       
0M6S      	ALLIANZ SE ORD SHS NPV(REGD)                      	LSE       
0M8O      	ATMEL CORP COM STK USD0.001                       	LSE       
0M8V      	PHILIP MORRIS INTERNATIONAL INC NPV               	LSE       
0M8Y      	FORMPIPE SOFTWARE AB NPV                          	LSE       
0M98      	GERRY WEBER INTERNATIONAL AG NPV                  	LSE       
0M9A      	HANNOVER RUECKVERSICHERUNGS AG ORD NPV(REGD)      	LSE       
0MC1      	RENTABILIWEB GROUP NPV                            	LSE       
0MC5      	PUBLIC POWER CORP S.A. EUR4.60                    	LSE       
0MCG      	HAMBORNER REIT AG NPV                             	LSE       
0MCK      	SVENSKA CELLULOSA AB-SCA SER`B`NPV                	LSE       
0MD9      	NORTH ENERGY ASA NOK1                             	LSE       
0MDT      	ELECTROLUX AB SER`B`NPV                           	LSE       
0MEC      	NORDEX AG NPV(POST REVERSE-SPLIT)                 	LSE       
0MET      	KONECRANES OYJ NPV                                	LSE       
0MFG      	FAIVELEY TRANSPORT EUR1                           	LSE       
0MFI      	TIKKURILA OYJ NPV                                 	LSE       
0MFT      	BEFIMMO SCA NPV SICAFI                            	LSE       
0MFU      	AGFA GEVAERT NV ORD NPV                           	LSE       
0MFW      	KBC ANCORA CVA NPV                                	LSE       
0MFY      	ARYZTA AG CHF0.02                                 	LSE       
0MG0      	AAREAL BANK EUR26                                 	LSE       
0MG1      	FIELMANN AG NPV                                   	LSE       
0MG2      	HEIDELBERGCEMENT AG NPV                           	LSE       
0MG5      	ELRINGKLINGER AG NPV                              	LSE       
0MGB      	GENMAB AS DKK1(BR)                                	LSE       
0MGC      	NKT HLDG AS DKK20                                 	LSE       
0MGD      	JYSKE BANK AS DKK10                               	LSE       
0MGE      	SYDBANK AS DKK10                                  	LSE       
0MGG      	KEMIRA OYJ NPV                                    	LSE       
0MGH      	CARGOTEC CORPORATION NPV ORD `B`                  	LSE       
0MGI      	OUTOTEC OYJ NPV                                   	LSE       
0MGJ      	VICAT EUR4                                        	LSE       
0MGL      	M6-METROPOLE TELEVISION EUR0.40                   	LSE       
0MGN      	SECHILIENNE EUR0.0385                             	LSE       
0MGO      	JC DECAUX SA NPV                                  	LSE       
0MGP      	BIC EUR3.82                                       	LSE       
0MGR      	FAURECIA EUR7                                     	LSE       
0MGS      	SEB SA EUR1                                       	LSE       
0MGT      	HAVAS EUR0.40                                     	LSE       
0MGV      	ERAMET EUR3.05                                    	LSE       
0MGX      	SOITEC NPV                                        	LSE       
0MGY      	ILIAD SA EUR0.02                                  	LSE       
0MH1      	BUREAU VERITAS EUR0.12                            	LSE       
0MH4      	PAGES JAUNES EUR0.2                               	LSE       
0MH6      	IPSEN EUR1                                        	LSE       
0MHA      	CIR-COMPAGNIE INDUSTRIALI SPA EUR0.50             	LSE       
0MHC      	ERG SPA EUR0.10                                   	LSE       
0MHD      	ACEA SPA EUR5.16                                  	LSE       
0MHE      	EXOR SPA EUR0.52                                  	LSE       
0MHJ      	AZIMUT HLDG SPA ORD NPV                           	LSE       
0MHM      	SCHIBSTED ASA NOK1                                	LSE       
0MHP      	DNO INTERNATIONAL ASA NOK0.25                     	LSE       
0MHR      	PETROLEUM GEO SERVICES ASA NOK3                   	LSE       
0MHS      	NORWEGIAN PROPERTY AS NOK25                       	LSE       
0MHT      	PEAB AB SER`B`NPV                                 	LSE       
0MHU      	INDUSTRIVARDEN AB SER`C`NPV                       	LSE       
0MHW      	VOLVO(AB) SER`A`NPV                               	LSE       
0MHZ      	SSAB AB SER`B`NPV                                 	LSE       
0MI0      	AUTOLIV INC USD1 SDR                              	LSE       
0MI3      	JM AB NPV                                         	LSE       
0MI5      	BOLIDEN AB NPV.                                   	LSE       
0MI6      	FABEGE AB NPV                                     	LSE       
0MI7      	LUNDIN MINING CORP SDR-EACH REPR 1 COM NPV        	LSE       
0MIP      	CA IMMOBILIEN ANLAGEN AG NPV                      	LSE       
0MIQ      	CONWERT IMMOBILIEN INVEST SE NPV                  	LSE       
0MJ1      	PALFINGER AG NPV                                  	LSE       
0MJ5      	RHI AG NPV                                        	LSE       
0MJ9      	SPARKASSEN IMMOBILIENANLAGEN AG NPV               	LSE       
0MJH      	ZUMTOBEL AG EUR10                                 	LSE       
0MJK      	ERSTE GROUP BANK AG NPV                           	LSE       
0MJT      	ANTENA 3 TELEVISION EUR0.75                       	LSE       
0MJX      	AKER ASA SER `A` NOK28                            	LSE       
0MJZ      	ANDRITZ AG NPV (POST SPLIT)                       	LSE       
0MK2      	ATRIUM EUROPEAN REAL ESTATE LTD EUR5              	LSE       
0MK5      	CONSTRUCCIONES Y AUXILIAR DE FERR EUR3.01         	LSE       
0MK9      	DELTA LLOYD NV NPV                                	LSE       
0MKE      	IMMOFINANZ AG NPV                                 	LSE       
0MKG      	OBRASCON HUARTE LAIN SA EUR0.60                   	LSE       
0MKH      	OMV AG NPV                                        	LSE       
0MKM      	SLIGRO FOOD GROUP NV EUR0.06                      	LSE       
0MKO      	SOL MELIA S.A. EUR0.20                            	LSE       
0MKP      	STRABAG SE NPV                                    	LSE       
0MKS      	TOMTOM NV NPV                                     	LSE       
0MKT      	TECNICAS REUNIDAS EUR0.1                          	LSE       
0MKW      	VISCOFAN ENVOLTURAS CELULOSICAS SA EUR0.30        	LSE       
0MKX      	VOEST-ALPINE AG NPV                               	LSE       
0MKZ      	WIENERBERGER AG NPV                               	LSE       
0ML0      	SONAE SGPS SA EUR1                                	LSE       
0ML1      	EDP RENOVAVEIS SA EUR5                            	LSE       
0MMD      	JOYOU AG NPV                                      	LSE       
0MMJ      	TOM TAILOR HOLDING AG NPV                         	LSE       
0MMZ      	LUBELSKI WEGIEL `BOGDANKA` SA PLN5                	LSE       
0MN3      	POLSKA GRUPA ENERGETYCZNA SA PLN10                	LSE       
0MN5      	SWORD GROUP EUR1 (POST CONSOLIDATION)             	LSE       
0MNC      	RTL GROUP NPV                                     	LSE       
0MNQ      	CYFROWY POLSAT SA PLN0.04                         	LSE       
0MOP      	TDC A/S DKK1                                      	LSE       
0MOS      	ITISSALAT AL MAGHRIB MAD6                         	LSE       
0MPH      	DEUTSCHE TELEKOM AG NPV(REGD)                     	LSE       
0MPJ      	GEA GROUP AG NPV                                  	LSE       
